#Table1
u,g,r,i,z,subClass
22.11874,20.32507,19.30857,18.92518,18.78342,K5
20.61012,19.3463,19.22782,19.24187,19.28585,A0
21.68315,19.11796,17.84465,17.24451,16.89638,K7
24.94648,21.26985,20.37961,19.92528,19.49644,K5
24.56417,19.94742,18.6221,17.42427,16.7765,M3
25.17433,23.44016,21.64283,19.3223,18.02176,M7
22.95116,22.60742,21.0462,19.01592,17.90535,M6
18.66957,17.72864,17.50475,17.37691,17.39602,A0
18.32371,17.15161,16.6862,16.47673,16.42487,F9
17.94557,16.69214,16.8431,16.98666,17.05866,A0
19.03331,17.98529,17.55304,17.37804,17.32885,F2
20.35048,18.45272,17.53236,17.30122,17.59722,M1
19.42436,18.07832,17.49503,17.2684,17.20255,F2
19.32962,18.11713,18.06045,18.07963,18.21815,A0
24.81134,23.2289,21.71848,19.2749,18.00528,M6
22.97022,21.15719,19.60358,17.72955,16.66323,M5
18.61663,18.48804,18.7861,19.06443,19.37705,WD
23.69096,20.56302,18.95129,16.74027,15.56589,M6
18.29783,17.24268,16.88238,16.73057,16.71127,F5
17.47174,16.98067,17.05845,17.16286,17.36381,WD
19.34599,19.25804,19.57225,19.86565,20.16854,WD
20.68922,20.3087,20.44852,20.69026,20.54806,WD
17.99986,17.00915,16.65493,16.551,16.52124,F5
25.52467,22.71501,21.26887,19.38807,18.34107,M5
22.60501,21.36275,20.79,20.50742,19.81315,M0V
20.48166,19.31179,18.84876,18.67288,18.59172,G2
19.69939,17.97704,16.61552,16.25039,16.10911,F9
21.6187,18.72667,16.99751,16.46907,16.29564,Carbon_lines
24.90968,22.37936,20.91482,18.13612,16.7513,M7
20.10243,18.96337,18.9044,18.95685,18.98058,A0
19.42832,18.41604,18.07642,17.94413,17.93085,F5
18.3501,17.10677,16.63169,16.46314,16.49194,F5
24.08553,22.48043,20.35287,19.58003,19.15376,M0V
20.28297,19.88376,20.19654,20.44366,20.54085,WD
18.70812,17.51467,17.48908,17.5238,17.54625,A0
19.27596,18.40788,18.0781,17.93281,17.90109,F5
20.4142,20.19556,20.38584,20.62211,20.80797,WD
19.1256,17.95891,17.77781,17.73873,17.72672,A0
17.88123,16.90685,16.6137,16.52099,16.46957,F5
20.10763,18.87893,18.43262,18.27557,18.23965,F9
24.20805,22.39873,21.08563,19.68045,18.9538,M3
24.01215,22.03998,20.92372,20.42854,20.15455,K3
